Date,Open,High,Low,Close,Volume
07/19/2021,"3,532.58","3,550.21","3,499.16","3,549.59","3,784,595"
07/16/2021,"3,633.31","3,646.06","3,570.46","3,573.63","4,043,706"
07/15/2021,"3,694.20","3,695.40","3,620.92","3,631.20","3,185,292"
07/14/2021,"3,708.85","3,717.66","3,660.83","3,681.68","3,296,568"
07/13/2021,"3,702.10","3,773.08","3,671.32","3,677.36","3,845,917"
07/12/2021,"3,744.00","3,757.29","3,696.79","3,718.55","2,571,635"
07/09/2021,"3,722.52","3,748.00","3,693.40","3,719.34","3,748,237"
07/08/2021,"3,643.56","3,759.99","3,621.12","3,731.41","5,180,623"
07/07/2021,"3,717.38","3,734.20","3,678.91","3,696.58","5,328,062"
07/06/2021,"3,530.11","3,685.48","3,529.00","3,675.74","6,744,768"
07/02/2021,"3,451.64","3,511.72","3,436.92","3,510.98","3,176,697"
07/01/2021,"3,434.61","3,457.00","3,409.42","3,432.97","2,037,053"
06/30/2021,"3,441.06","3,471.60","3,435.00","3,440.16","2,403,992"
06/29/2021,"3,438.82","3,456.03","3,423.03","3,448.14","2,098,439"
06/28/2021,"3,416.00","3,448.00","3,413.51","3,443.89","2,242,793"
06/25/2021,"3,464.00","3,464.82","3,394.18","3,401.46","3,940,997"
06/24/2021,"3,507.64","3,524.86","3,430.85","3,449.08","3,831,999"
06/23/2021,"3,505.00","3,521.00","3,483.20","3,503.82","2,813,341"
06/22/2021,"3,458.06","3,523.78","3,456.09","3,505.44","3,345,082"
06/21/2021,"3,476.42","3,482.00","3,434.00","3,453.96","3,277,130"
06/18/2021,"3,479.99","3,507.00","3,473.71","3,486.90","5,247,737"
06/17/2021,"3,403.18","3,497.20","3,401.00","3,489.24","5,136,531"
06/16/2021,"3,392.00","3,426.35","3,360.53","3,415.25","4,202,782"
06/15/2021,"3,384.00","3,396.99","3,363.11","3,383.13","2,426,200"
06/14/2021,"3,346.83","3,385.00","3,335.50","3,383.87","2,569,655"
