Date,Open,High,Low,Close,Volume
04/12/2021,"155.58","157.25","155.57","155.95","12,273,360"
04/09/2021,"155.81","157.04","154.97","156.28","12,122,400"
04/08/2021,"154.00","155.51","152.31","155.12","12,335,510"
04/07/2021,"153.10","155.23","152.65","154.93","16,903,520"
04/06/2021,"152.79","154.28","151.86","152.54","13,071,550"
04/05/2021,"154.40","154.94","152.60","153.62","13,507,980"
04/01/2021,"151.90","153.79","151.55","153.71","16,561,510"
03/31/2021,"153.28","154.49","152.12","152.23","16,736,680"
03/30/2021,"154.46","155.87","153.88","154.48","13,184,310"
03/29/2021,"152.12","153.73","151.04","152.68","17,570,340"
03/26/2021,"154.30","155.45","152.55","155.09","16,754,400"
03/25/2021,"150.00","152.97","149.33","152.55","15,608,340"
03/24/2021,"150.00","153.18","149.86","150.62","13,079,790"
03/23/2021,"150.33","152.12","148.96","149.46","17,076,301"
03/22/2021,"152.80","153.97","150.61","150.97","19,944,850"
03/19/2021,"155.51","155.94","151.19","155.14","54,418,832"
03/18/2021,"157.60","161.69","157.11","157.65","21,898,471"
03/17/2021,"155.34","156.88","153.05","155.09","13,952,380"
03/16/2021,"154.09","154.60","152.19","153.51","12,805,570"
03/15/2021,"156.35","156.92","153.96","155.37","12,103,260"
03/12/2021,"156.86","157.63","155.07","156.15","12,849,530"
03/11/2021,"154.11","156.15","153.36","154.32","11,771,480"
03/10/2021,"151.91","156.16","151.51","155.13","14,342,240"
03/09/2021,"151.50","154.25","149.82","151.83","16,238,760"
03/08/2021,"152.47","155.46","150.75","152.91","17,133,270"
03/05/2021,"153.22","153.49","147.97","150.91","18,465,109"
03/04/2021,"152.61","154.38","148.62","150.56","20,093,910"
03/03/2021,"151.23","154.98","150.83","152.91","14,324,100"
03/02/2021,"150.08","151.78","149.84","150.01","14,221,720"
03/01/2021,"149.52","151.38","148.48","150.50","14,845,480"
02/26/2021,"150.30","150.87","146.51","147.17","19,829,180"
02/25/2021,"154.27","154.90","150.59","151.18","18,127,711"
02/24/2021,"150.11","153.76","150.11","153.26","15,061,430"
02/23/2021,"151.51","152.31","149.59","150.61","16,234,410"
02/22/2021,"146.87","150.19","146.79","149.41","11,488,420"
02/19/2021,"145.86","148.84","145.86","148.02","11,969,780"
02/18/2021,"144.00","145.79","143.40","145.59","10,590,270"
