Date,Open,High,Low,Close,Volume
06/30/2021,"136.17","137.41","135.87","136.96","63,261,391"
06/29/2021,"134.80","136.49","134.35","136.33","64,556,078"
06/28/2021,"133.41","135.25","133.35","134.78","62,111,301"
06/25/2021,"133.46","133.89","132.81","133.11","70,783,750"
06/24/2021,"134.45","134.64","132.93","133.41","68,711,000"
06/23/2021,"133.77","134.32","133.23","133.70","60,214,199"
06/22/2021,"132.13","134.08","131.62","133.98","74,783,617"
06/21/2021,"130.30","132.41","129.21","132.30","79,663,320"
06/18/2021,"130.71","131.51","130.24","130.46","108,953,297"
06/17/2021,"129.80","132.55","129.65","131.79","96,721,672"
06/16/2021,"130.37","130.89","128.46","130.15","91,815,031"
06/15/2021,"129.94","130.60","129.39","129.64","62,746,328"
06/14/2021,"127.82","130.54","127.07","130.48","96,906,484"
06/11/2021,"126.53","127.44","126.10","127.35","53,522,367"
06/10/2021,"127.02","128.19","125.94","126.11","71,186,414"
06/09/2021,"127.21","127.75","126.52","127.13","56,877,941"
06/08/2021,"126.60","128.46","126.21","126.74","74,403,766"
06/07/2021,"126.17","126.32","124.83","125.90","71,057,555"
06/04/2021,"124.07","126.16","123.85","125.89","75,169,344"
06/03/2021,"124.68","124.85","123.13","123.54","76,229,172"
06/02/2021,"124.28","125.24","124.05","125.06","59,278,859"
06/01/2021,"125.08","125.35","123.94","124.28","67,637,117"
05/28/2021,"125.57","125.80","124.55","124.61","71,311,109"
05/27/2021,"126.44","127.64","125.08","125.28","94,625,602"
05/26/2021,"126.96","127.39","126.42","126.85","56,575,922"
05/25/2021,"127.82","128.32","126.32","126.90","72,009,477"
05/24/2021,"126.01","127.94","125.94","127.10","63,092,953"
05/21/2021,"127.82","128.00","125.21","125.43","79,295,438"
05/20/2021,"125.23","127.72","125.10","127.31","76,857,117"
05/19/2021,"123.16","124.92","122.86","124.69","92,611,992"
05/18/2021,"126.56","126.99","124.78","124.85","63,342,930"
05/17/2021,"126.82","126.93","125.17","126.27","74,116,555"
05/14/2021,"126.25","127.89","125.85","127.45","81,917,953"
05/13/2021,"124.58","126.15","124.26","124.97","105,861,297"
05/12/2021,"123.40","124.64","122.25","122.77","112,172,305"
05/11/2021,"123.50","126.27","122.77","125.91","126,142,797"
05/10/2021,"129.41","129.54","126.81","126.85","88,071,234"
05/07/2021,"130.85","131.26","129.48","130.21","78,973,273"
05/06/2021,"127.89","129.75","127.13","129.74","78,128,328"
05/05/2021,"129.20","130.45","127.97","128.10","84,000,898"
05/04/2021,"131.19","131.49","126.70","127.85","137,564,703"
05/03/2021,"132.04","134.07","131.83","132.54","75,135,102"
04/30/2021,"131.78","133.56","131.07","131.46","109,839,508"
04/29/2021,"136.47","137.07","132.45","133.48","151,100,984"
04/28/2021,"134.31","135.02","133.08","133.58","107,760,094"
04/27/2021,"135.01","135.41","134.11","134.39","66,015,797"
04/26/2021,"134.83","135.06","133.56","134.72","66,905,070"
04/23/2021,"132.16","135.12","132.16","134.32","78,756,781"
